Specialist,DIAGNOSIS_CODE,ACTIVITY_CODE,ACTIVITY_COUNT_TOTAL,DIAGNOSIS_CODE_COUNT,ACTIVITY_COUNT_AVG,ACTIVITY_COUNT_STDEV,CareProfile_class_code
CAR,202,085141,2,2243,0.000891663,0.0008908679,7
CAR,202,085190,1,2243,0.0004458315,0.0004456327,7
CAR,202,086902,1,2243,0.0004458315,0.0004456327,7
CAR,202,086970,1,2243,0.0004458315,0.0004456327,7
CAR,202,087070,2,2243,0.000891663,0.0008908679,7
CAR,202,120241,12,2243,0.005349978,0.005321356,7
CAR,202,120245,12,2243,0.005349978,0.005321356,7
CAR,202,190011,102,2243,0.04547481,0.04340685,1
CAR,202,190012,40,2243,0.01783326,0.01751523,1
CAR,202,190013,134,2243,0.05974142,0.05617238,1
CAR,202,190014,14,2243,0.006241641,0.006202682,99
CAR,202,190015,17,2243,0.007579135,0.007521692,89
CAR,202,190021,25,2243,0.01114579,0.01102156,99
CAR,202,190035,47,2243,0.02095408,0.02051501,2
CAR,202,190204,43,2243,0.01917075,0.01880324,3
CAR,202,190342,2,2243,0.000891663,0.0008908679,13
